Marca;Modelo;Tipo;Contraseña de Homologación;Variante;Versión;Parte Fija Vin;Combustible;Eurotaxi;Cilindrada;Potencia;Tipo de Cambio;Nº Plazas;Mampara s/n;Comercializado s/n;Clasificación D.G.T.
MERCEDES-BENZ;VIANO;639/2;e1*2007/46*0457*??;LBC91305N;?A??????;WDF639;GASOLINA TRANSFORMADO GLP;SI;3498;190.0;AUTOMÁTICO 6V;5;NO;NO;C
MERCEDES-BENZ;E200 NATURAL GAS;212G;e1*2007/46*0484*;J035P0;N????500;WDD212035;GASOLINA - GAS NATURAL;NO;1991;115.0;AUTOMÁTICO;5;NO;NO;ECO
MERCEDES-BENZ;E200 NATURAL GAS;212G;e1*2007/46*0484*;J035P0;N????501;WDD212035;GASOLINA - GAS NATURAL;NO;1991;115.0;AUTOMÁTICO 7V;5;NO;NO;ECO
MERCEDES-BENZ;VITO TOURER;639/2;e1*2007/46*0457*??;KOA3L????;2F?????8BE;WDF447???????????;DIESEL;SI;2143;120.0;AUTOMÁTICO 7V;de 5+1PMR a 8 plazas (*);NO;SI;C
MERCEDES-BENZ;VITO TOURER;639/2;e1*2007/46*0457*??;KOA3L;2F?????9BE;WDF447???????????;DIESEL;SI;2143;120.0;AUTOMÁTICO 7V;de 5+1PMR a 8 plazas (*);NO;SI;C
MERCEDES-BENZ;VITO TOURER;639/2;e1*2007/46*0457*??;KOA3L????;2S?????8BE;WDF447???????????;DIESEL;SI;2143;120.0;MANUAL 6V;de 5+1PMR a 8 plazas (*);NO;SI;C
MERCEDES-BENZ;VITO TOURER;639/2;e1*2007/46*0457*??;KOA3L????;2S?????9BE;WDF447???????????;DIESEL;SI;2143;120.0;MANUAL 6V;de 5+1PMR a 8 plazas (*);NO;SI;C
MERCEDES-BENZ;VITO TOURER;639/2;e1*2007/46*0457*??;KOA7L;2F?????8BE;WDF447???????????;DIESEL;SI;2143;100.0;AUTOMÁTICO 7V;de 5+1PMR a 8 plazas (*);NO;SI;C
MERCEDES-BENZ;VITO TOURER;639/2;e1*2007/46*0457*??;KOA7L????;2F?????9BE;WDF447???????????;DIESEL;SI;2143;100.0;AUTOMÁTICO 7V;de 5+1PMR a 8 plazas (*);NO;SI;C
MERCEDES-BENZ;VITO TOURER;639/2;e1*2007/46*0457*??;KOA7L;2S?????8BE;WDF447???????????;DIESEL;SI;2143;100.0;MANUAL 6V;de 5+1PMR a 8 plazas (*);NO;SI;C
MERCEDES-BENZ;VITO TOURER;639/2;e1*2007/46*0457*??;KOA7L????;2S?????9BE;WDF447???????????;DIESEL;SI;2143;100.0;MANUAL 6V;de 5+1PMR a 8 plazas (*);NO;SI;C
MERCEDES-BENZ;CLASE V220;639/2;e1*2007/46*0457*??;KLA3L????;2F?????8BE;WDF447???????????;DIESEL;SI;2143;120.0;AUTOMÁTICO 7V;de 5+1PMR a 7 plazas (*);NO;SI;C
MERCEDES-BENZ;CLASE V220;639/2;e1*2007/46*0457*??;KLA3L????;2S?????8BE;WDF447???????????;DIESEL;SI;2143;120.0;MANUAL 6V;de 5+1PMR a 7 plazas (*);NO;SI;C
MERCEDES-BENZ;VITO TOURER;639/2;e1*2007/46*0457*??;KOA3L????;2S?????8XX;WDF447???????????;DIESEL;SI;2143;120.0;MANUAL 6V;de 5+1PMR a 8 plazas (*);NO;NO;C
MERCEDES-BENZ;VITO TOURER;639/2;e1*2001/46*0457*??;KOA3L????;2S?????9XX;WDF447???????????;DIESEL;SI;2143;120.0;MANUAL 6V;de 5+1PMR a 8 plazas (*);NO;NO;C
MERCEDES-BENZ;VITO TOURER;639/2;e1*2007/46*0457*??;KOA7L;2S?????8XX;WDF447???????????;DIESEL;SI;2143;100.0;MANUAL 6V;de 5+1PMR a 8 plazas (*);NO;NO;C
MERCEDES-BENZ;VITO TOURER;639/2;e1*2007/46*0457*??;KOA7L????;2S?????8XX;WDF447???????????;DIESEL;SI;2143;100.0;MANUAL 6V;de 5+1PMR a 8 plazas (*);NO;NO;C
MERCEDES-BENZ;CLASE V220;639/2;e1*2007/46*0457*??;KLA3L????;2S?????7XX;WDF447???????????;DIESEL;SI;2143;120.0;MANUAL 6V;de 5+1PMR a 7 plazas (*);NO;NO;C
MERCEDES-BENZ;CLASE V220;639/2;e1*2007/46*0457*??;KLA3L????;2S?????8XX;WDF447???????????;DIESEL;SI;2143;120.0;MANUAL 6V;de 5+1PMR a 7 plazas (*);NO;NO;C
MERCEDES-BENZ;CLASE V220;639/2;e1*2007/46*0457*??;KLA3L????;2F?????7BE;WDF447??????????;DIESEL;SI;2143;120.0;AUTOMÁTICO 7V;de 5+1PMR a 7 plazas (*);NO;SI;C
MERCEDES-BENZ;CLASE V220;639/2;e1*2007/46*0457*??;KLA3L????;2S?????7BE;WDF447??????????;DIESEL;SI;2143;120.0;MANUAL 6V;de 5+1PMR a 7 plazas (*);NO;SI;C
NISSAN;NISSAN LEAF 40 KWH;ZE1;e9*2007/46*6537;A;A02;??????ZE1????????;ELECTRICO;NO;0;0.0;AUTOMÁTICO;5;NO;SI;0
NISSAN;NISSAN LEAF 40 KWH;ZE1;e9*2007/46*6537;A;A01;??????ZE1????????;ELECTRICO;NO;0;0.0;AUTOMÁTICO;5;NO;SI;0
NISSAN;NISSAN e-NV200;ME0M;e11*2007/46*1340;B;B01;VSKTAAME0;ELECTRICO;SI;0;80.0;AUTOMÁTICO;5+1PMR;NO;NO;0
NISSAN;NISSAN e-NV200;ME0M;e11*2007/46*1340;B;B03;VSKTAAME0;ELECTRICO;NO;0;0.0;AUTOMÁTICO;5;NO;SI;0
NISSAN;NISSAN e-NV200;ME0M;e11*2007/46*1340;B;B04;VSKTAAME0????????;ELECTRICO;NO;0;0.0;AUTOMÁTICO;7;NO;SI;0
NISSAN;NISSAN e-NV200;ME0M;e11*2007/46*1340;B;B03;VSKTAAME0????????;ELECTRICO;SI;0;0.0;AUTOMÁTICO;5+1PMR;NO;SI;0
NISSAN;NISSAN e-NV200;ME0M;e11*2007/46*1340;B;B02;VSKTAAME0;ELECTRICO;NO;0;80.0;AUTOMÁTICO;7;NO;NO;0
NISSAN;NISSAN LEAF;ZE0;e11*2007/46*0230;A;A01;JN1FAAZE0U;ELECTRICO;NO;0;80.0;AUTOMÁTICO;5;NO;NO;0
NISSAN;NISSAN LEAF;ZE0;e11*2007/46*0230;A;A01;SJNFAAZE0U;ELECTRICO;NO;0;80.0;AUTOMÁTICO;5;NO;NO;0
NISSAN;NISSAN LEAF;ZE0;e11*2007/46*0230;A;A02;JN1FAAZE0U;ELECTRICO;NO;0;80.0;AUTOMÁTICO;5;NO;NO;0
NISSAN;NISSAN LEAF;ZE0;e11*2007/46*0230;A;A02;SJNFAAZE0U;ELECTRICO;NO;0;80.0;AUTOMÁTICO;5;NO;NO;0
NISSAN;NISSAN e-NV200;ME0M;e11*2007/46*1340;B;B01;VSKTAAME0;ELECTRICO;NO;0;80.0;AUTOMÁTICO;5;NO;NO;0
NISSAN;NISSAN LEAF 30 kW;ZE0;e11*2007/46*0230;A;A03;SJNFAAZE0U;ELECTRICO;NO;0;80.0;AUTOMÁTICO;5;NO;NO;0
NISSAN;NISSAN LEAF 30 kW;ZE0;e11*2007/46*0230;A;A03;JN1FAAZE0U;ELECTRICO;NO;0;80.0;AUTOMÁTICO;5;NO;NO;0
OPEL;ZAFIRA;A-H / MONOCAB - CNG;e1*2001/116*0378;BA11;0;W0L0AHM75;GASOLINA - GAS NATURAL;NO;1598;69.0;MANUAL 5V;5;NO;NO;ECO
RENAULT;RENAULT KANGOO TPMR;KW;e2*2007/46*0038;KW32;KW32H2DA;VF1KW;DIESEL;SI;1461;81.0;MANUAL 6V;5 + 1 PMR;NO;SI;C
RENAULT;TRAFIC;JL;e2*98/14*0213;JR9M;MJ1000600B00;VF1JL000;DIESEL;SI;1598;70.0;MANUAL 6V;de 5+1PMR a 7 plazas (*);NO;SI;C
RENAULT;TRAFIC;JL;e2*98/14*0213;JR9M;MH1000600B00;VF1JL000;DIESEL;SI;1598;98.0;MANUAL 6V;de 5+1PMR a 7 plazas (*);NO;SI;C
RENAULT;TRAFIC;JL;e2*98/14*0213;JR9M;MJ1000600A00;VF1JL000;DIESEL;SI;1598;70.0;MANUAL 6V;de 6+1PMR a 8 plazas (*);NO;SI;C
RENAULT;TRAFIC;JL;e2*98/14*0213;JR9M;MH1000600A00;VF1JL000;DIESEL;SI;1598;92.0;MANUAL 6V;de 6+1PMR a 8 plazas (*);NO;SI;C
SEAT;LEON ST;5F;e9*2007/46*0094;FCPWAX0V;FD6GFD6D90127MMML05;VSS???5F?;GASOLINA - GAS NATURAL;NO;1395;81.0;AUTOMÁTICO;5;SI;SI;ECO
SEAT;ALTEA XL;5P;e9*2001/116*0050;ACCHGAX01/SGFM5****;0;VSSZZZ5PZ;GLP / GASOLINA;NO;1595;75.0;MANUAL 5V;5;NO;NO;ECO
SEAT;ALTEA XL;5P;e9*2001/116*0050;ACCHGAX01/SGNFM5;0;VSSZZZ5PZ;GLP / GASOLINA;NO;1595;75.0;MANUAL 5V;5;NO;NO;ECO
SKODA;OCTAVIA;1Z;e11*2001/116*0230;AACHGAX01/NFM5***;0;TMB***1Z;GLP / GASOLINA;NO;1595;75.0;MANUAL 5V;5;NO;NO;ECO
SKODA;OCTAVIA;1Z;e11*2001/116*0230;ACCHGAX01/NFM5***;0;TMB***1Z;GLP / GASOLINA;NO;1595;75.0;MANUAL 5V;5;NO;NO;ECO
TESLA;MODEL S;2;e4*2007/46*0667;75D;B???5N;5YJ??????????????;ELECTRICO;NO;0;193.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;60R;B???5N;5YJ??????????????;ELECTRICO;NO;0;350.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;60D;B???5N;5YJ??????????????;ELECTRICO;NO;0;193.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;75R;B???5N;5YJ??????????????;ELECTRICO;NO;0;350.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;100D;B???5N;5YJ??????????????;ELECTRICO;NO;0;193.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;100D;P???5N;5YJ??????????????;ELECTRICO;NO;0;193.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;100R;B???5N;5YJ??????????????;ELECTRICO;NO;0;193.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;100R;P???5N;5YJ??????????????;ELECTRICO;NO;0;193.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;60D;P???5N;5YJ??????????????;ELECTRICO;NO;0;193.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;60R;P???5N;5YJ??????????????;ELECTRICO;NO;0;193.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;70D;P???5N;5YJ??????????????;ELECTRICO;NO;0;193.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;70R;P???5N;5YJ??????????????;ELECTRICO;NO;0;350.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;90D;B???5N;5YJ??????????????;ELECTRICO;NO;0;193.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;90D;P???5N;5YJ??????????????;ELECTRICO;NO;0;193.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;90R;B???5N;5YJ??????????????;ELECTRICO;NO;0;350.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;90R;P???5N;5YJ??????????????;ELECTRICO;NO;0;350.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;75D;P???5N;5YJ??????????????;ELECTRICO;NO;0;193.0;Relación fija + 1R;5;NO;SI;0
TESLA;MODEL S;2;e4*2007/46*0667;75R;P???5N;5YJ??????????????;ELECTRICO;NO;0;350.0;Relación fija + 1R;5;NO;SI;0
TOYOTA;PRIUS;HW2;e11*2001/116*0200;NHW20 (E);0;JTDKB20U;GASOLINA-ELECTRICIDAD;NO;1497;57.0;AUTOMÁTICO;5;NO;NO;ECO
TOYOTA;PRIUS PLUS;XW4(a);e11*2007/46*0157;ZVW40(W);ZVW40L-AWXEBW(1?);JTDZS3EU;GASOLINA-ELECTRICIDAD;NO;1798;73.0;AUTOMÁTICO;5;NO;NO;ECO
TOYOTA;PRIUS;XW3(A);e11*2001/116*0264;ZVW30(H);0;JTDKN36U;GASOLINA-ELECTRICIDAD;NO;1798;73.0;AUTOMÁTICO;5;NO;NO;ECO
TOYOTA;PRIUS PLUS;XW3(a);e11*2001/116*0264;ZVW40(W);ZVW40L-AWXEBW(1?);JTDZS3EU;GASOLINA-ELECTRICIDAD;NO;1798;73.0;AUTOMÁTICO;5;NO;SI;ECO
VOLKSWAGEN;TRANSPORTER o. CA;7HC;e1*2001/116*0220;SB40AXAX0/NS285FM5***;0;WV2???7H?;GASOLINA;SI;1984;85.0;MANUAL 5V;5;NO;NO;C
VOLKSWAGEN;TRANSPORTER o. CA;7HC;e1*2001/116*0220;NB40AXAX0/NS285FM5***;0;WV2???7H?;GASOLINA;SI;1984;85.0;MANUAL 5V;5;NO;NO;C
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;ACBSEX01/FM5********S*0J2***LN1;0;WV2ZZZ2KZ;GASOLINA;SI;1595;75.0;MANUAL 5V;5;SI;NO;C
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;ACCHGAX01;L0J2FM5********N1G*****;WV2ZZZ2KZ;GLP / GASOLINA;SI;1595;75.0;MANUAL 5V;5;SI;NO;ECO
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;AFCHGAX01;L0J2FM5********N1G*****;WV2ZZZ2KZ;GLP / GASOLINA;SI;1595;75.0;MANUAL 5V;5;SI;NO;ECO
VOLKSWAGEN;TRANSPORTER o. CA;7HC;e1*2001/116*0220;NB40AXAX0/NS285FM5***;0;WV2???7H?;GASOLINA TRANSFORMADO GLP;SI;1984;85.0;MANUAL 5V;5;NO;NO;C
VOLKSWAGEN;TRANSPORTER o. CA;7HC;e1*2001/116*0220;SB40AXAX0/NS285FM5***;0;WV2???7H?;GASOLINA TRANSFORMADO GLP;SI;1984;75.0;MANUAL 5V;5;NO;NO;C
VOLKSWAGEN;PASSAT;3C;e1*2001/116*0307;AACDGAX0/FD7******;0;WVWZZZ3CZ;GASOLINA - GAS NATURAL;NO;1390;110.0;AUTOMÁTICO 7V;5;NO;NO;ECO
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;ACCUUDX01;L0J2FM5FM5A4027N1SBVR27MMLL1**;WV2ZZZ2KZ;DIESEL;SI;1968;75.0;MANUAL 5V;de 5+1PMR a 7 plazas (*);SI;SI;C
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;AFCUUDX01;L0J2FM5FM5A4057N1SBVR27MMLL2**;WV2ZZZ2KZ;DIESEL;SI;1968;75.0;MANUAL 5V;de 5+1PMR a 7 plazas (*);SI;SI;C
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;AFDFSB??;L???FD6??????????????????LL???;WV2ZZZ2KZ;DIESEL;SI;1968;75.0;MANUAL 6V;de 5+1PMR a 7 plazas (*);SI;NO;C
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;ACDFSD??;L???FM5??????????????????LL???;WV2ZZZ2KZ;DIESEL;SI;1968;75.0;MANUAL 5V;de 5+1PMR a 7 plazas (*);SI;NO;C
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;AFDFSD??;L???FM5??????????????????LL???;WV2ZZZ2KZ;DIESEL;SI;1968;75.0;MANUAL 5V;de 5+1PMR a 7 plazas (*);SI;SI;C
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;ACDFSB??;L???FD6??????????????????LL???;WV2ZZZ2KZ;DIESEL;SI;1968;110.0;MANUAL 6V;de 5+1PMR a 7 plazas (*);SI;NO;C
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;ACDFSB??;L???FM6??????????????????LL???;WV2ZZZ2KZ;DIESEL;SI;1968;110.0;MANUAL 6V;de 5+1PMR a 7 plazas (*);SI;NO;C
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;AFDFSD??;L???FD6??????????????????LL???;WV2ZZZ2KZ;DIESEL;SI;1968;75.0;MANUAL 6V;de 5+1PMR a 7 plazas (*);SI;SI;C
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;ACCPWA??;N???FM6??????????????????LL???;WV2ZZZ2KZ;GASOLINA - GAS NATURAL;NO;1395;81.0;MANUAL 6V;5;SI;SI;ECO
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;AFCPWA??;L???FM6??????????????????LL???;WV2ZZZ2KZ;GASOLINA - GAS NATURAL;NO;1395;81.0;MANUAL 6V;7;SI;SI;ECO
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;ACCPWA??;N???FD6??????????????????LL???;WV2ZZZ2KZ;GASOLINA - GAS NATURAL;NO;1395;81.0;AUTOMÁTICO 6V;5;SI;SI;ECO
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;AFCPWA??;L???FD6?????????????????LL???;WV2ZZZ2KZ;GASOLINA - GAS NATURAL;NO;1395;81.0;AUTOMÁTICO;7;SI;SI;ECO
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;AFDFSB??;L???FM6??????????????????LL???;WV2ZZZ2KZ;DIESEL;SI;1968;110.0;MANUAL 6V;de 5+1PMR a 7 plazas (*);SI;SI;C
